index,time2,
321,1459838516,1459838516
321,1459838684,1459838684
321,1459838894,1459838894
321,1459839062,1459839062
321,1459839230,1459839230
321,1459839440,1459839440
321,1459839608,1459839608
321,1459839818,1459839818
321,1459839986,1459839986
321,1459840154,1459840154
321,1459840322,1459840322
321,1459840490,1459840490
321,1459840658,1459840658
321,1459840826,1459840826
321,1459840994,1459840994
321,1459841162,1459841162
321,1459841330,1459841330
321,1459841540,1459841540
321,1459841708,1459841708
321,1459841918,1459841918
321,1459842086,1459842086
321,1459842254,1459842254
321,1459842422,1459842422
321,1459842590,1459842590
321,1459842758,1459842758
321,1459842968,1459842968
321,1459843094,1459843094
321,1459843304,1459843304
321,1459843514,1459843514
321,1459843640,1459843640
321,1459843808,1459843808
321,1459843976,1459843976
321,1459844144,1459844144
321,1459844354,1459844354
321,1459844522,1459844522
321,1459844690,1459844690
321,1459844816,1459844816
321,1459844984,1459844984
321,1459845152,1459845152
321,1459845320,1459845320
321,1459845530,1459845530
321,1459845656,1459845656
321,1459845866,1459845866
321,1459846034,1459846034
321,1459846202,1459846202
321,1459846370,1459846370
321,1459846538,1459846538
321,1459846706,1459846706
321,1459846874,1459846874
321,1459847000,1459847000
321,1459847168,1459847168
321,1459847378,1459847378
321,1459847546,1459847546
321,1459847672,1459847672
321,1459847840,1459847840
321,1459848008,1459848008
321,1459848176,1459848176
321,1459848344,1459848344
321,1459848512,1459848512
321,1459848680,1459848680
321,1459848806,1459848806
321,1459849016,1459849016
321,1459849142,1459849142
321,1459849310,1459849310
321,1459849520,1459849520
321,1459849688,1459849688
321,1459849856,1459849856
321,1459849982,1459849982
321,1459850150,1459850150
321,1459850318,1459850318
321,1459850444,1459850444
321,1459850612,1459850612
321,1459850780,1459850780
321,1459850948,1459850948
321,1459851116,1459851116
321,1459851242,1459851242
321,1459851410,1459851410
321,1459851578,1459851578
321,1459851746,1459851746
321,1459851956,1459851956
321,1459852082,1459852082
321,1459852292,1459852292
321,1459852460,1459852460
321,1459852628,1459852628
321,1459852838,1459852838
321,1459852964,1459852964
321,1459853132,1459853132
321,1459853300,1459853300
321,1459853468,1459853468
321,1459853594,1459853594
321,1459853762,1459853762
321,1459853930,1459853930
321,1459854098,1459854098
321,1459854224,1459854224
321,1459854392,1459854392
321,1459854602,1459854602
321,1459854770,1459854770
321,1459854938,1459854938
321,1459855106,1459855106
321,1459855274,1459855274
321,1459855400,1459855400
321,1459855610,1459855610
321,1459855778,1459855778
321,1459855904,1459855904
321,1459856072,1459856072
321,1459856240,1459856240
321,1459856408,1459856408
321,1459856534,1459856534
321,1459856702,1459856702
321,1459856870,1459856870
321,1459856996,1459856996
321,1459857206,1459857206
321,1459857374,1459857374
321,1459857542,1459857542
321,1459857668,1459857668
321,1459857836,1459857836
321,1459858004,1459858004
321,1459858130,1459858130
321,1459858298,1459858298
321,1459858508,1459858508
321,1459858676,1459858676
321,1459858844,1459858844
321,1459859012,1459859012
321,1459859138,1459859138
321,1459859306,1459859306
321,1459859474,1459859474
321,1459859600,1459859600
321,1459859768,1459859768
321,1459859936,1459859936
321,1459860104,1459860104
321,1459860272,1459860272
321,1459860440,1459860440
321,1459860566,1459860566
321,1459860734,1459860734
321,1459860902,1459860902
321,1459861070,1459861070
321,1459861238,1459861238
321,1459861448,1459861448
321,1459861574,1459861574
321,1459861784,1459861784
321,1459861952,1459861952
321,1459862120,1459862120
321,1459862246,1459862246
321,1459862414,1459862414
321,1459862624,1459862624
321,1459862792,1459862792
321,1459862960,1459862960
321,1459863086,1459863086
321,1459863296,1459863296
321,1459863464,1459863464
321,1459863632,1459863632
321,1459863800,1459863800
321,1459863968,1459863968
321,1459864136,1459864136
321,1459864304,1459864304
321,1459864472,1459864472
321,1459864640,1459864640
321,1459864808,1459864808
321,1459864976,1459864976
321,1459865144,1459865144
321,1459865270,1459865270
321,1459865480,1459865480
321,1459865648,1459865648
321,1459865816,1459865816
321,1459865984,1459865984
321,1459866110,1459866110
321,1459866320,1459866320
321,1459866488,1459866488
321,1459866656,1459866656
321,1459866740,1459866740
321,1459867602,1459867602
321,1459868389,1459868389
321,1459869433,1459869433
321,1459870365,1459870365
321,1459871505,1459871505
321,1459871570,1459871570
321,1459871904,1459871904
321,1459873388,1459873388
321,1459873572,1459873572
321,1459874071,1459874071
321,1459874090,1459874090
321,1459874216,1459874216
321,1459874505,1459874505
321,1459874636,1459874636
321,1459874804,1459874804
321,1459874930,1459874930
321,1459875014,1459875014
321,1459879027,1459879027
321,1459879249,1459879249
321,1459879256,1459879256
321,1459879340,1459879340
321,1459880559,1459880559
321,1459880642,1459880642
321,1459881428,1459881428
321,1459881482,1459881482
321,1459882006,1459882006
321,1459882028,1459882028
321,1459882196,1459882196
321,1459882477,1459882477
321,1459882532,1459882532
321,1459884575,1459884575
321,1459884632,1459884632
321,1459885132,1459885132
321,1459885178,1459885178
321,1459886556,1459886556
321,1459886606,1459886606
321,1459886648,1459886648
321,1459890160,1459890160
321,1459890176,1459890176
321,1459890178,1459890178
321,1459893071,1459893071
321,1459893116,1459893116
321,1459893380,1459893380
321,1459893923,1459893923
321,1459893998,1459893998
321,1459897000,1459897000
321,1459897022,1459897022
321,1459897148,1459897148
322,1459815638,1459815638
322,1459815808,1459815808
322,1459815970,1459815970
322,1459816146,1459816146
322,1459820669,1459820669
322,1459821993,1459821993
322,1459824112,1459824112
322,1459824241,1459824241
322,1459826476,1459826476
322,1459826517,1459826517
322,1459829056,1459829056
322,1459829220,1459829220
322,1459829384,1459829384
322,1459832062,1459832062
322,1459863103,1459863103
322,1459863279,1459863279
322,1459863455,1459863455
322,1459863631,1459863631
322,1459863807,1459863807
322,1459863983,1459863983
322,1459864115,1459864115
322,1459864291,1459864291
322,1459864467,1459864467
322,1459864643,1459864643
322,1459864819,1459864819
322,1459864995,1459864995
322,1459865127,1459865127
322,1459865171,1459865171
322,1459866508,1459866508
322,1459866631,1459866631
322,1459867309,1459867309
322,1459867489,1459867489
322,1459867679,1459867679
322,1459867808,1459867808
322,1459868521,1459868521
322,1459868640,1459868640
322,1459869004,1459869004
322,1459869594,1459869594
322,1459871320,1459871320
322,1459871406,1459871406
322,1459871621,1459871621
322,1459874454,1459874454
322,1459874570,1459874570
322,1459875940,1459875940
322,1459878018,1459878018
322,1459878141,1459878141
322,1459879853,1459879853
322,1459886587,1459886587
322,1459887888,1459887888
322,1459888023,1459888023
322,1459888203,1459888203
322,1459888248,1459888248
322,1459890264,1459890264
322,1459890350,1459890350
322,1459890946,1459890946
322,1459891492,1459891492
322,1459891618,1459891618
322,1459891660,1459891660
323,1459824465,1459824465
323,1459824591,1459824591
323,1459826927,1459826927
323,1459826968,1459826968
323,1459827562,1459827562
323,1459827767,1459827767
323,1459827849,1459827849
323,1459828054,1459828054
323,1459828227,1459828227
323,1459828382,1459828382
323,1459828546,1459828546
323,1459828710,1459828710
323,1459828874,1459828874
323,1459829038,1459829038
323,1459829120,1459829120
323,1459829783,1459829783
323,1459831621,1459831621
323,1459831824,1459831824
323,1459832160,1459832160
323,1459832254,1459832254
323,1459867314,1459867314
323,1459867354,1459867354
323,1459870651,1459870651
323,1459870693,1459870693
323,1459873611,1459873611
323,1459873779,1459873779
323,1459873863,1459873863
323,1459874451,1459874451
323,1459875249,1459875249
323,1459875479,1459875479
323,1459875538,1459875538
323,1459892501,1459892501
323,1459893834,1459893834
324,1459810839,1459810839
324,1459811383,1459811383
324,1459811415,1459811415
324,1459812241,1459812241
324,1459813717,1459813717
324,1459816806,1459816806
324,1459816965,1459816965
324,1459817047,1459817047
324,1459821044,1459821044
324,1459821084,1459821084
324,1459824293,1459824293
324,1459825803,1459825803
324,1459825971,1459825971
324,1459826139,1459826139
324,1459826307,1459826307
324,1459826433,1459826433
324,1459826937,1459826937
324,1459827036,1459827036
324,1459828452,1459828452
324,1459833556,1459833556
324,1459835530,1459835530
324,1459835708,1459835708
324,1459835832,1459835832
324,1459837442,1459837442
324,1459840790,1459840790
324,1459840974,1459840974
324,1459843820,1459843820
324,1459843988,1459843988
324,1459844156,1459844156
324,1459879239,1459879239
324,1459882966,1459882966
324,1459883801,1459883801
324,1459884908,1459884908
